,File_Name,penguin_ID,Video_ID,Date,Time,Frame_No,Label
0,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_0.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,0,nonprey
1,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_1.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,1,nonprey
12,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_2.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,2,nonprey
23,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_3.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,3,nonprey
24,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_4.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,4,nonprey
25,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_5.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,5,nonprey
26,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_6.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,6,nonprey
27,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_7.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,7,nonprey
28,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_8.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,8,nonprey
29,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_9.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,9,nonprey
2,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_10.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,10,nonprey
3,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_11.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,11,nonprey
4,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_12.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,12,nonprey
5,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_13.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,13,nonprey
6,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_14.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,14,nonprey
7,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_15.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,15,nonprey
8,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_16.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,16,nonprey
9,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_17.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,17,nonprey
10,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_18.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,18,nonprey
11,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_19.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,19,nonprey
13,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_20.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,20,nonprey
14,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_21.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,21,nonprey
15,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_22.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,22,nonprey
16,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_23.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,23,nonprey
