filename,date,time,frame_number,prey_event,prey_type
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_0,2016-10-20,07:50:08,0,0,0
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_1,2016-10-20,07:50:08,1,0,0
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_2,2016-10-20,07:50:08,2,0,0
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_3,2016-10-20,07:50:08,3,0,0
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_4,2016-10-20,07:50:08,4,1,2
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_5,2016-10-20,07:50:08,5,1,1
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_6,2016-10-20,07:50:08,6,1,1
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_7,2016-10-20,07:50:08,7,0,0
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_8,2016-10-20,07:50:08,8,0,0
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_9,2016-10-20,07:50:08,9,1,1
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_10,2016-10-20,07:50:08,10,1,1
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_11,2016-10-20,07:50:08,11,1,1
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_12,2016-10-20,07:50:08,12,0,0
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_13,2016-10-20,07:50:08,13,1,3
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_14,2016-10-20,07:50:08,14,1,1
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_15,2016-10-20,07:50:08,15,1,1
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_16,2016-10-20,07:50:08,16,1,1
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_17,2016-10-20,07:50:08,17,1,1
